Day,Month,IncidentYear,VictimInjury,State,Location,latitude,longitude,SharkType,SharkLength(m),Provoked,SharkCount,VictimActivity,InjuryLocation,InjurySeverity,VictimGender,VictimAge
22,8,2015,Injured,NSW,"port macquarie, lighthouse beach",-31.46666667,152.9166667,white shark,2.7,Unprovoked,1,boarding,thigh,major lacerations,Male,38
16,8,2015,Uninjured,QLD,"davies reef, off townsville",-18.83333333,147.6333333,tiger shark,,Unprovoked,1,boarding,other: uninjured,,Female,
8,9,2015,Injured,NSW,"north shelly beach, gosford",-33.05,152.5333333,,2,Provoked,1,boarding,"arm, hand",minor lacerations,Male,42
4,9,2015,Injured,NSW,black head beach,-32.06666667,152.5333333,white shark,2.5,Unprovoked,1,boarding,foot,major lacerations,Male,65
26,9,2015,Injured,QLD,"russell island, frankland islands, gbr",-17.21666667,146.0833333,,0.9,Unprovoked,1,snorkelling,leg,major lacerations,Female,7
30,10,2015,Injured,WA,"cheynes beach, albany, wa",-34.88003124,118.404958,white shark,,Provoked,1,spearfishing,"arm, torso, hand, shoulder ",minor lacerations,Male,50
7,10,2015,Injured,WA,"pyramids beach, mandurah",-32.6,115.6166667,grey nurse shark,,Unprovoked,1,boarding,foot,minor lacerations,Male,18
10,11,2015,Injured,NSW,"ballina, north wall",-28.86666667,153.5833333,bull shark,3,Unprovoked,1,boarding,thigh,major lacerations,Male,
9,1,2016,Injured,QLD,caloundra,-26.8,153.1333333,wobbegong,1.2,Provoked,1,boarding,foot,major lacerations,Male,
5,1,2016,Injured,QLD,heron island,-23.43333333,151.9,blacktip reef shark,,Unprovoked,1,swimming,calf,major lacerations,Male,11
2,1,2016,Injured,QLD,"miall island, yeppoon",-23.15,150.9,tiger shark,3,Provoked,1,spearfishing,"arm, leg",major lacerations,Male,31
4,2,2016,Uninjured,NSW,hams beach (part of caves beach),-34,151.65,white shark,2.6,Unprovoked,1,boarding,other: uninjured,,Male,
21,2,2016,Injured,NSW,barrenjoey,-23.56666667,151.3166667,wobbegong,,Provoked,1,spearfishing,arm,minor lacerations,Male,
11,2,2016,Uninjured,TAS,"nettley bay, marrawah",-40.91666667,144.6166667,white shark,,Unprovoked,1,boarding,other: uninjured,,Male,
11,3,2016,Uninjured,NSW,cresent head,-31.18333333,152.9666667,white shark,,Unprovoked,1,boarding,,,Male,
2,3,2016,Injured,SA,wrights bay beach,-37.03333333,139.7333333,bronze whaler shark,,Provoked,1,fishing,,minor lacerations,Male,
28,3,2016,Uninjured,NSW,"cronulla beach, sydney",-34.03333333,151.15,white shark,,Unprovoked,1,boarding,other: uninjured,,Male,
30,3,2016,Injured,NSW,"bombo beach, kiama",-34.65,150.85,white shark,,Unprovoked,1,boarding,leg,major lacerations,Male,22
20,4,2016,Injured,NSW,"main beach, byron bay",-28.63333333,153.6,wobbegong,0.8,Provoked,1,swimming,foot,minor lacerations,Male,12
31,5,2016,Fatal,WA,"gearies beach, mandurah",-32.58333333,115.6333333,white shark,,Unprovoked,1,boarding,leg,major lacerations,Male,29
31,5,2016,Uninjured,NSW,kingscliff ,-28.25276667,153.5921833,bronze whaler shark,2.5,Provoked,2,spearfishing,other: uninjured,,Male,
5,6,2016,Fatal,WA,"one mile reef, mindarie",-31.66666667,115.6666667,white shark,5,Unprovoked,1,diving,,major lacerations,Female,60
15,6,2016,Injured,WA,coral bay coast,-23.02411667,113.1294,grey reef shark,1.8,Provoked,1,spearfishing,other: uninjured,,Male,19
26,6,2016,Uninjured,NSW,minnamurra,-34.6215,150.8568,unknown,,Unprovoked,1,boarding,other: uninjured,,Male,
31,6,2016,Uninjured,NSW,kingscliff,-28.2646,153.5777,bronze whaler shark,,Provoked,1,spearfishing,other: uninjured,,Male,23
19,7,2016,Uninjured,NSW,"big rocky, port stephens",-32.717,152.1049,unknown,,Provoked,1,spearfishing,other: uninjured,,Male,
26,7,2016,Uninjured,NSW,"sharpes beach, ballina",-28.8377,153.6044,white shark,3,Unprovoked,1,boarding,other: uninjured,,Male,18
29,7,2016,Uninjured,NSW,cauarina beach,-28.3037,153.5742,white shark,3,Unprovoked,1,boarding,other: uninjured,,Male,
16,9,2016,Uninjured,VIC,"bells beach, winkipop reef",-38.06115,144.04745,white shark ,,Unprovoked,1,boarding,,,Male,
26,9,2016,Injured,NSW,"lighthouse beach, ballina",-28.86666667,153.5833333,white shark,3.5,Unprovoked,1,boarding,leg,minor lacerations,Male,
5,9,2016,Uninjured,WA,"injidup beach, yallingup",-33.11656667,114.1649,white shark,,Unprovoked,1,boarding,other: uninjured,,Male,
15,10,2016,Injured,QLD,"kings beach, sunshine coast",-27.335,153.235,white shark,4,Unprovoked,1,boarding,"leg, torso",minor lacerations,Male,
12,10,2016,Injured,NSW,"sharpes beach, ballina",-28.83333333,153.6,white shark,3.5,Unprovoked,1,boarding,leg,minor lacerations,Male,20
24,10,2016,Injured,NSW,"tallows beach, byron bay",-33.08945,151.0587667,white shark,2.9,Unprovoked,1,boarding,leg,minor lacerations,Male,36
4,10,2016,Injured,QLD,"whitehaven beach, whitsunday island",-20.23333333,148.95,lemon shark,1,Provoked,1,swimming,arm,minor lacerations,Male,10
1,12,2016,Injured,NSW,"the ruin, booti booti national park",-32.30595,152.52275,white shark,4,Unprovoked,1,boarding,"arm, foot",major lacerations,Male,65
10,12,2016,Uninjured,QLD,lockhart river,-12.45183333,143.3444167,bull shark,,Provoked,,spearfishing,other: uninjured,,Male,35
24,12,2016,Injured,WA,"bundegi sanctuary zone, exmouth",-21.15741667,114.0218833,whaler shark,,Unprovoked,,snorkelling,"torso, pelvic region",minor lacerations,Female,
15,12,2016,Injured,WA,trigg beach,-31.14531667,115.1265,,,Unprovoked,,snorkelling,foot,minor lacerations,Male,61
